DataType,SortType,ArraySize,Threshold,Time_us
Reversed,Hybrid,12000,20,131.8
Reversed,Hybrid,12000,30,129.2
Reversed,Hybrid,12000,50,162
Reversed,Hybrid,12000,100,356
AlmostSorted,Standard,12000,0,347.6
AlmostSorted,Hybrid,12000,5,186.6
AlmostSorted,Hybrid,12000,10,143.6
AlmostSorted,Hybrid,12000,20,122.2
AlmostSorted,Hybrid,12000,30,99.8
AlmostSorted,Hybrid,12000,50,87.2
AlmostSorted,Hybrid,12000,100,78.6
Random,Standard,12500,0,778
Random,Hybrid,12500,5,587.6
Random,Hybrid,12500,10,544.4
Random,Hybrid,12500,20,496.2
Random,Hybrid,12500,30,472
Random,Hybrid,12500,50,436
Random,Hybrid,12500,100,438.4
Reversed,Standard,12500,0,373.2
Reversed,Hybrid,12500,5,197.4
Reversed,Hybrid,12500,10,160.6
Reversed,Hybrid,12500,20,132
Reversed,Hybrid,12500,30,174.4
Reversed,Hybrid,12500,50,202.8
Reversed,Hybrid,12500,100,276.8
AlmostSorted,Standard,12500,0,391.4
AlmostSorted,Hybrid,12500,5,204.6
AlmostSorted,Hybrid,12500,10,156.4
AlmostSorted,Hybrid,12500,20,132
AlmostSorted,Hybrid,12500,30,108.8
AlmostSorted,Hybrid,12500,50,97.6
AlmostSorted,Hybrid,12500,100,89.8
Random,Standard,13000,0,817.2
Random,Hybrid,13000,5,737.6
Random,Hybrid,13000,10,552.2
Random,Hybrid,13000,20,502.2
Random,Hybrid,13000,30,463.6
Random,Hybrid,13000,50,466.4
Random,Hybrid,13000,100,438.6
Reversed,Standard,13000,0,479.8
Reversed,Hybrid,13000,5,213
Reversed,Hybrid,13000,10,162.6
Reversed,Hybrid,13000,20,139.2
Reversed,Hybrid,13000,30,142.8
Reversed,Hybrid,13000,50,149.2
Reversed,Hybrid,13000,100,174.4
AlmostSorted,Standard,13000,0,386
AlmostSorted,Hybrid,13000,5,205.4
AlmostSorted,Hybrid,13000,10,153.6
AlmostSorted,Hybrid,13000,20,127.8
AlmostSorted,Hybrid,13000,30,107.4
AlmostSorted,Hybrid,13000,50,106.4
AlmostSorted,Hybrid,13000,100,95.2
Random,Standard,13500,0,852.6
Random,Hybrid,13500,5,644.8
Random,Hybrid,13500,10,569.6
Random,Hybrid,13500,20,529.6
Random,Hybrid,13500,30,486
Random,Hybrid,13500,50,489
Random,Hybrid,13500,100,461.2
Reversed,Standard,13500,0,386.4
Reversed,Hybrid,13500,5,216.6
Reversed,Hybrid,13500,10,162.2
Reversed,Hybrid,13500,20,142.4
Reversed,Hybrid,13500,30,150
Reversed,Hybrid,13500,50,149.2
Reversed,Hybrid,13500,100,191.2
AlmostSorted,Standard,13500,0,404.6
AlmostSorted,Hybrid,13500,5,211.4
AlmostSorted,Hybrid,13500,10,160.8
AlmostSorted,Hybrid,13500,20,129.8
AlmostSorted,Hybrid,13500,30,111.8
AlmostSorted,Hybrid,13500,50,122.6
AlmostSorted,Hybrid,13500,100,119.8
Random,Standard,14000,0,876.6
Random,Hybrid,14000,5,666
Random,Hybrid,14000,10,596.8
Random,Hybrid,14000,20,549.4
Random,Hybrid,14000,30,528
Random,Hybrid,14000,50,510
Random,Hybrid,14000,100,484
Reversed,Standard,14000,0,399.8
Reversed,Hybrid,14000,5,211.2
Reversed,Hybrid,14000,10,170.8
Reversed,Hybrid,14000,20,148.4
Reversed,Hybrid,14000,30,157.2
Reversed,Hybrid,14000,50,159.8
Reversed,Hybrid,14000,100,197.2
AlmostSorted,Standard,14000,0,513.8
AlmostSorted,Hybrid,14000,5,227.4
AlmostSorted,Hybrid,14000,10,173.8
AlmostSorted,Hybrid,14000,20,138.2
AlmostSorted,Hybrid,14000,30,119.4
AlmostSorted,Hybrid,14000,50,130.2
AlmostSorted,Hybrid,14000,100,108
Random,Standard,14500,0,920.2
Random,Hybrid,14500,5,688.2
Random,Hybrid,14500,10,621.2
Random,Hybrid,14500,20,572.6
Random,Hybrid,14500,30,527.6
Random,Hybrid,14500,50,530.6
Random,Hybrid,14500,100,515
Reversed,Standard,14500,0,424.8
Reversed,Hybrid,14500,5,240.2
Reversed,Hybrid,14500,10,186
Reversed,Hybrid,14500,20,159
Reversed,Hybrid,14500,30,168.8
Reversed,Hybrid,14500,50,181.4
Reversed,Hybrid,14500,100,211.4
AlmostSorted,Standard,14500,0,464.4
AlmostSorted,Hybrid,14500,5,234.4
AlmostSorted,Hybrid,14500,10,176.8
AlmostSorted,Hybrid,14500,20,142.8
AlmostSorted,Hybrid,14500,30,130.4
AlmostSorted,Hybrid,14500,50,128.6
AlmostSorted,Hybrid,14500,100,110.8
Random,Standard,15000,0,1008.8
